tempo,ax,ay,az,acao
172.0,-6.19,6.22,-3.56,engolir_seco
174.0,-6.19,6.22,-3.57,engolir_seco
176.0,-6.21,6.22,-3.55,engolir_seco
178.0,-6.17,6.22,-3.58,engolir_seco
180.0,-6.17,6.22,-3.55,engolir_seco
182.0,-6.16,6.24,-3.55,engolir_seco
184.0,-6.2,6.22,-3.55,engolir_seco
186.0,-6.2,6.21,-3.56,engolir_seco
188.0,-6.17,6.2,-3.58,engolir_seco
190.0,-6.19,6.24,-3.55,engolir_seco
192.0,-6.17,6.25,-3.58,engolir_seco
194.0,-6.19,6.24,-3.59,engolir_seco
196.0,-6.16,6.21,-3.57,engolir_seco
198.0,-6.17,6.23,-3.55,engolir_seco
200.0,-6.21,6.21,-3.55,engolir_seco
202.0,-6.19,6.23,-3.55,engolir_seco
204.0,-6.19,6.22,-3.56,engolir_seco
206.0,-6.18,6.24,-3.57,engolir_seco
208.0,-6.15,6.23,-3.59,engolir_seco
210.0,-6.19,6.22,-3.57,engolir_seco
212.0,-6.18,6.2,-3.58,engolir_seco
214.0,-6.2,6.22,-3.53,engolir_seco
216.0,-6.16,6.19,-3.61,engolir_seco
218.0,-6.24,6.18,-3.55,engolir_seco
220.0,-6.19,6.26,-3.51,engolir_seco
222.0,-6.19,6.23,-3.59,engolir_seco
224.0,-6.19,6.24,-3.51,engolir_seco
226.0,-6.16,6.2,-3.62,engolir_seco
228.0,-6.17,6.22,-3.53,engolir_seco
230.0,-6.14,6.23,-3.58,engolir_seco
232.0,-6.17,6.21,-3.55,engolir_seco
234.0,-6.2,6.22,-3.6,engolir_seco
236.0,-6.21,6.2,-3.59,engolir_seco
238.0,-6.21,6.22,-3.54,engolir_seco
240.0,-6.18,6.2,-3.56,engolir_seco
242.0,-6.22,6.23,-3.51,engolir_seco
244.0,-6.2,6.2,-3.57,engolir_seco
246.0,-6.2,6.23,-3.58,engolir_seco
248.0,-6.14,6.26,-3.56,engolir_seco
250.0,-6.17,6.23,-3.56,engolir_seco
252.0,-6.2,6.16,-3.57,engolir_seco
254.0,-6.18,6.21,-3.57,engolir_seco
256.0,-6.17,6.2,-3.56,engolir_seco
258.0,-6.17,6.22,-3.55,engolir_seco
260.0,-6.2,6.22,-3.55,engolir_seco
262.0,-6.18,6.21,-3.6,engolir_seco
264.0,-6.18,6.23,-3.55,engolir_seco
266.0,-6.16,6.23,-3.56,engolir_seco
268.0,-6.16,6.23,-3.55,engolir_seco
270.0,-6.18,6.2,-3.58,engolir_seco
272.0,-6.19,6.21,-3.55,engolir_seco
274.0,-6.17,6.22,-3.57,engolir_seco
276.0,-6.18,6.21,-3.54,engolir_seco
278.0,-6.15,6.23,-3.59,engolir_seco
280.0,-6.19,6.23,-3.52,engolir_seco
282.0,-6.19,6.19,-3.57,engolir_seco
284.0,-6.19,6.21,-3.6,engolir_seco
286.0,-6.17,6.22,-3.52,engolir_seco
288.0,-6.18,6.19,-3.62,engolir_seco
290.0,-6.19,6.22,-3.53,engolir_seco
292.0,-6.19,6.21,-3.56,engolir_seco
294.0,-6.2,6.2,-3.6,engolir_seco
296.0,-6.23,6.25,-3.52,engolir_seco
298.0,-6.24,6.09,-3.55,engolir_seco
300.0,-6.23,6.13,-3.54,engolir_seco
302.0,-6.09,6.33,-3.59,engolir_seco
304.0,-6.21,6.22,-3.57,engolir_seco
306.0,-6.12,6.28,-3.57,engolir_seco
308.0,-6.17,6.36,-3.47,engolir_seco
310.0,-6.17,6.18,-3.57,engolir_seco
312.0,-6.17,6.21,-3.56,engolir_seco
314.0,-6.25,6.2,-3.52,engolir_seco
316.0,-6.22,6.15,-3.62,engolir_seco
318.0,-6.2,6.27,-3.4,engolir_seco
320.0,-6.11,6.22,-3.76,engolir_seco
322.0,-6.11,6.39,-3.35,engolir_seco
324.0,-6.15,6.15,-3.72,engolir_seco
326.0,-6.31,6.06,-3.56,engolir_seco
328.0,-6.3,6.26,-3.54,engolir_seco
330.0,-6.15,6.28,-3.87,engolir_seco
332.0,-6.08,6.37,-3.28,engolir_seco
334.0,-6.04,6.2,-3.75,engolir_seco
336.0,-6.37,6.17,-3.45,engolir_seco
